tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,rank_diff,rank_pts_diff,age_diff,height_diff,w_ace_per_game,w_df_per_game,l_ace_per_game,l_df_per_game,w_1st_pct,w_1st_win_pct,w_bp_save_pct,l_1st_pct,l_1st_win_pct,l_bp_save_pct,match_length
2017-580,Australian Open,Hard,128,G,2017-01-16,162,104797,0.0,Unseeded,Denis Istomin,R,185.0,UZB,30.3,104471,0.0,Q,Ivan Dodig,R,183.0,CRO,32.0,6-1 6-4 3-6 7-5,5,R128,154.0,14.0,2.0,119.0,78.0,61.0,19.0,19.0,8.0,11.0,7.0,11.0,113.0,65.0,47.0,20.0,19.0,3.0,9.0,117.0,498.0,170.0,336.0,-53.0,162.0,-1.6999999999999993,2.0,0.7,0.1,0.35,0.55,0.6554621848739496,0.782051282051282,0.7272727272727273,0.5752212389380531,0.7230769230769231,0.3333333333333333,2.566666666666667
2017-580,Australian Open,Hard,128,G,2017-01-16,105,104999,0.0,Unseeded,Mischa Zverev,L,190.0,GER,29.4,104198,0.0,Unseeded,Guillermo Garcia Lopez,R,188.0,ESP,33.6,6-3 7-6(5) 6-4,5,R128,132.0,8.0,2.0,100.0,69.0,50.0,14.0,16.0,5.0,8.0,3.0,4.0,99.0,53.0,35.0,21.0,15.0,5.0,11.0,50.0,894.0,74.0,700.0,-24.0,194.0,-4.200000000000003,2.0,0.47058823529411764,0.11764705882352941,0.1875,0.25,0.69,0.7246376811594203,0.625,0.5353535353535354,0.660377358490566,0.45454545454545453,2.2
2017-580,Australian Open,Hard,128,G,2017-01-16,112,105041,0.0,Q,Lukas Lacko,R,185.0,SVK,29.2,105077,26.0,Unseeded,Albert Ramos,L,188.0,ESP,28.9,4-6 7-5 1-6 6-4 6-3,5,R128,200.0,17.0,4.0,140.0,86.0,64.0,30.0,24.0,8.0,12.0,21.0,11.0,151.0,86.0,63.0,32.0,24.0,7.0,11.0,121.0,486.0,26.0,1435.0,95.0,-949.0,0.3000000000000007,-3.0,0.68,0.16,0.84,0.44,0.6142857142857143,0.7441860465116279,0.6666666666666666,0.5695364238410596,0.7325581395348837,0.6363636363636364,3.3333333333333335
2017-580,Australian Open,Hard,128,G,2017-01-16,125,105583,0.0,Unseeded,Dusan Lajovic,R,183.0,SRB,26.5,103565,0.0,Unseeded,Stephane Robert,R,185.0,FRA,36.6,6-3 6-3 6-3,5,R128,119.0,4.0,4.0,96.0,57.0,42.0,17.0,14.0,7.0,9.0,3.0,5.0,100.0,54.0,29.0,23.0,13.0,7.0,13.0,94.0,627.0,55.0,854.0,39.0,-227.0,-10.100000000000001,-2.0,0.26666666666666666,0.26666666666666666,0.21428571428571427,0.35714285714285715,0.59375,0.7368421052631579,0.7777777777777778,0.54,0.5370370370370371,0.5384615384615384,1.9833333333333334
2017-580,Australian Open,Hard,128,G,2017-01-16,114,104871,0.0,Unseeded,Jeremy Chardy,R,188.0,FRA,29.9,104597,0.0,Unseeded,Nicolas Almagro,R,183.0,ESP,31.4,4-0 RET,5,R128,23.0,3.0,3.0,20.0,13.0,10.0,3.0,2.0,2.0,2.0,1.0,1.0,15.0,6.0,3.0,2.0,2.0,0.0,2.0,72.0,705.0,42.0,1040.0,30.0,-335.0,-1.5,5.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.65,0.7692307692307693,1.0,0.4,0.5,0.0,0.38333333333333336
2017-580,Australian Open,Hard,128,G,2017-01-16,115,105453,5.0,Unseeded,Kei Nishikori,R,178.0,JPN,27.0,105723,0.0,Unseeded,Andrey Kuznetsov,R,183.0,RUS,25.9,5-7 6-1 6-4 6-7(6) 6-2,5,R128,214.0,11.0,0.0,158.0,98.0,67.0,34.0,25.0,7.0,12.0,5.0,4.0,142.0,78.0,52.0,27.0,24.0,3.0,12.0,5.0,5010.0,45.0,1015.0,-40.0,3995.0,1.1000000000000014,-5.0,0.4230769230769231,0.0,0.2,0.16,0.620253164556962,0.6836734693877551,0.5833333333333334,0.5492957746478874,0.6666666666666666,0.25,3.566666666666667
2017-580,Australian Open,Hard,128,G,2017-01-16,116,104527,4.0,Unseeded,Stan Wawrinka,R,183.0,SUI,31.8,105373,0.0,Unseeded,Martin Klizan,L,191.0,SVK,27.5,4-6 6-4 7-5 4-6 6-4,5,R128,204.0,21.0,6.0,160.0,102.0,78.0,27.0,26.0,11.0,16.0,7.0,2.0,157.0,120.0,77.0,24.0,26.0,10.0,16.0,4.0,5155.0,34.0,1230.0,-30.0,3925.0,4.300000000000001,-8.0,0.7777777777777778,0.2222222222222222,0.25925925925925924,0.07407407407407407,0.6375,0.7647058823529411,0.6875,0.7643312101910829,0.6416666666666667,0.625,3.4
2017-580,Australian Open,Hard,128,G,2017-01-16,117,105449,0.0,Unseeded,Steve Johnson,R,188.0,USA,27.0,105643,0.0,Unseeded,Federico Delbonis,L,193.0,ARG,26.2,6-3 6-4 6-4,5,R128,120.0,17.0,1.0,79.0,43.0,40.0,23.0,15.0,2.0,2.0,2.0,5.0,85.0,49.0,37.0,15.0,14.0,3.0,6.0,30.0,1390.0,44.0,1030.0,-14.0,360.0,0.8000000000000007,-5.0,1.0625,0.0625,0.13333333333333333,0.3333333333333333,0.5443037974683544,0.9302325581395349,1.0,0.5764705882352941,0.7551020408163265,0.5,2.0
2017-580,Australian Open,Hard,128,G,2017-01-16,118,103893,0.0,Unseeded,Paolo Lorenzi,R,183.0,ITA,35.0,105902,0.0,Unseeded,James Duckworth,R,183.0,AUS,24.9,6-4 7-6(4) 6-7(4) 6-4,5,R128,195.0,10.0,5.0,141.0,81.0,64.0,30.0,22.0,7.0,9.0,8.0,7.0,142.0,71.0,56.0,35.0,22.0,3.0,7.0,43.0,1033.0,107.0,557.0,-64.0,476.0,10.100000000000001,0.0,0.43478260869565216,0.21739130434782608,0.34782608695652173,0.30434782608695654,0.574468085106383,0.7901234567901234,0.7777777777777778,0.5,0.7887323943661971,0.42857142857142855,3.25
2017-580,Australian Open,Hard,128,G,2017-01-16,119,104678,29.0,Unseeded,Viktor Troicki,R,193.0,SRB,30.9,106000,0.0,Unseeded,Damir Dzumhur,R,175.0,BIH,24.6,6-4 6-4 2-6 2-6 6-3,5,R128,166.0,14.0,2.0,123.0,79.0,57.0,25.0,23.0,5.0,11.0,1.0,8.0,143.0,80.0,57.0,31.0,22.0,10.0,15.0,35.0,1225.0,78.0,694.0,-43.0,531.0,6.299999999999997,18.0,0.5833333333333334,0.08333333333333333,0.043478260869565216,0.34782608695652173,0.6422764227642277,0.7215189873417721,0.45454545454545453,0.5594405594405595,0.7125,0.6666666666666666,2.7666666666666666
